BP-RP,G,ra,dec
0.660386,9.7295,53.882158,22.82339
3.09609,17.2698,54.046203,23.806264
1.72219,13.5183,54.10151,22.623601
3.12039,17.5594,54.160077,23.145484
2.74729,15.8874,54.485193,23.382239
0.700186,9.9338,54.594179,22.499485
2.07119,14.3129,54.59755,23.107852
2.88849,16.3211,54.928058,23.907557
2.59689,15.5586,54.943185,23.981238
3.10239,17.1777,55.029255,22.646397
3.22259,17.7282,55.029686,24.217457
3.39549,18.2235,55.066427,24.375243
2.90409,16.6886,55.078594,23.906379
2.92559,16.5067,55.112403,24.237146
0.868386,10.6978,55.143302,23.682412
2.39499,14.8697,55.147248,20.965564
0.851386,10.6592,55.210274,23.418246
3.25929,18.1222,55.212851,20.687994
1.32709,12.4571,55.21373,23.598226
3.02339,17.0485,55.251689,24.226273
2.67239,15.8105,55.262558,23.722485
3.28949,18.0262,55.271871,23.837359
1.67609,13.5028,55.307633,23.384748
2.83819,16.2767,55.345407,23.929913
3.06869,16.8627,55.358272,23.259812
0.925686,10.9669,55.366041,23.708143
3.05239,17.3212,55.395063,23.637546
3.14319,17.6676,55.411784,24.385752
3.14049,17.3208,55.444496,23.022005
3.01859,17.2557,55.470654,24.12342
1.80849,13.4514,55.473652,23.457804
2.62349,15.6387,55.494486,22.950349
1.90939,13.9689,55.494588,23.707142
2.47789,15.2953,55.512027,24.209905
2.45219,15.2763,55.513835,24.536887
2.29299,14.8186,55.536921,23.587902
2.45009,14.7948,55.545597,24.085537
3.18079,17.8882,55.556261,24.313678
3.09339,17.0543,55.574651,24.115885
1.85829,13.8532,55.589853,24.664478
3.11419,17.6776,55.609548,23.860614
1.78999,13.7172,55.609626,22.894464
2.82709,16.2898,55.609614,24.235357
2.05609,14.238,55.622664,22.790389
3.09009,17.7214,55.641606,24.18339
2.79309,16.1622,55.651176,23.367845
3.03449,17.201,55.67163,24.028402
2.77639,16.6106,55.674437,24.004176
3.12959,17.0955,55.684906,23.104331
3.01699,17.413,55.685304,23.970772
3.26059,17.7214,55.690271,23.822829
2.71599,15.774,55.704705,24.170874
0.615486,9.363,55.729743,24.492875
3.00469,17.1292,55.735753,24.229177
1.14169,11.8239,55.746825,22.900712
1.66339,13.3696,55.749065,22.424074
3.10939,17.5691,55.755324,24.247737
1.09119,11.6903,55.76236,24.669565
3.13629,17.1757,55.77398,21.030226
3.13849,17.4809,55.798548,24.114438
2.37439,14.9126,55.804535,24.655249
2.90919,16.4003,55.81925,23.833591
3.02699,16.8468,55.829292,22.786099
3.02199,16.9635,55.854914,22.895499
0.847186,10.6452,55.883232,23.67386
1.84989,13.8578,55.902588,23.45376
1.77859,13.6485,55.903905,24.393787
2.46499,15.1739,55.932196,24.487539
2.63399,15.5662,55.937442,23.0557
0.962786,11.1053,55.961363,24.247299
1.81789,13.754,55.967379,24.841423
2.85749,16.3152,55.987569,23.951454
2.86199,16.3661,55.988742,24.222182
0.692986,9.5336,55.995108,23.882533
0.946286,10.8234,56.00257,23.54375
1.02049,11.2092,56.02026,24.275325
2.16499,14.5087,56.036793,23.079712
2.68319,15.8898,56.040081,24.589379
2.95389,17.0597,56.045721,24.812601
2.86749,16.5515,56.050662,23.876894
0.972886,11.1648,56.05452,24.030622
0.843486,10.5972,56.058096,24.779202
2.54299,15.4205,56.074039,24.446194
2.81609,16.4259,56.079497,24.588264
0.827886,10.4673,56.083802,24.795968
2.67749,15.8253,56.087031,23.560935
1.36199,12.572,56.091374,24.768213
2.17579,14.4704,56.103483,24.768219
1.03419,11.2584,56.109576,24.589507
2.76159,16.0822,56.132237,23.590432
1.77669,13.694,56.147628,24.001141
2.54899,15.4094,56.15126,23.502909
3.05549,17.0121,56.162316,23.040264
2.65129,15.682,56.16515,24.528758
0.664386,9.7126,56.169919,24.81834
0.868486,10.5823,56.174347,22.464352
0.788486,10.2738,56.235075,24.432411
2.76719,16.2008,56.236295,23.606389
2.62159,15.7438,56.239002,23.992185
2.86589,16.3492,56.241816,23.408477
2.74209,16.1236,56.244217,23.927883
1.67769,13.3871,56.245743,23.388735
2.88869,16.5622,56.254816,24.777914
1.07999,11.6896,56.263749,23.839216
2.90389,16.3217,56.295122,23.049316
1.65949,13.4033,56.300035,24.585995
2.79329,16.1397,56.300684,23.364573
2.79879,16.1856,56.301884,22.697314
2.38839,15.208,56.317295,24.121001
0.578786,8.8932,56.337017,24.921881
2.66899,16.2398,56.340389,24.543512
1.27329,12.208,56.342539,23.471517
2.18049,14.4761,56.347979,24.850611
0.641286,9.5626,56.350626,24.885786
2.76429,16.1317,56.36073,22.525415
1.55629,13.0286,56.387339,24.303041
3.11539,17.1434,56.391673,23.185017
0.455586,8.5402,56.393684,24.463113
0.784886,9.9817,56.39758,24.083017
2.85929,16.3001,56.469881,23.464881
2.96179,16.5345,56.487449,23.024588
1.34709,12.406,56.517282,23.405326
2.42269,15.0897,56.523583,24.612165
1.30439,12.4231,56.527186,24.567228
1.40809,12.7025,56.528862,24.562612
1.89959,14.0093,56.531384,24.374184
1.60449,13.2397,56.534931,23.347327
1.01329,11.4046,56.549076,24.622125
2.96669,17.1256,56.552849,23.587019
2.47749,15.3293,56.57483,24.685805
1.00699,11.31,56.58068,20.879595
1.65559,13.3572,56.585397,24.785289
2.92439,17.2237,56.589062,24.564391
0.778886,10.2968,56.59455,24.569956
2.76709,16.4991,56.602737,24.479405
2.70069,15.9248,56.61261,24.453748
0.798886,10.4041,56.614067,25.135337
1.54459,12.5949,56.615813,23.592521
1.79999,13.7161,56.619367,24.758797
1.79759,13.4865,56.630024,24.117147
1.95929,14.0378,56.637059,23.305137
1.93089,14.0204,56.645073,22.935287
1.99039,14.1021,56.647302,23.411537
2.82089,15.954,56.65036,23.0713
0.758486,10.1018,56.661656,24.959443
1.47609,12.8798,56.66214,24.520114
0.580486,9.1918,56.663986,24.103001
1.16589,11.9649,56.664206,24.029486
0.599086,9.288,56.666744,23.110131
3.14019,17.3216,56.668431,22.844191
2.32739,15.0937,56.68172,23.994943
3.06009,17.4935,56.686662,24.749398
0.789886,10.3434,56.696179,22.914386
2.43739,15.0618,56.703352,23.068558
2.10039,14.3442,56.705119,24.599832
2.84899,16.3176,56.708795,23.532088
0.772786,10.3833,56.724041,23.58336
2.40769,15.0656,56.725203,25.245653
0.793486,10.4091,56.728916,24.796141
3.12419,17.4903,56.730538,23.380219
2.15569,14.5082,56.737985,23.250477
2.72359,16.0397,56.743977,24.460928
0.972486,11.2689,56.756007,23.494748
3.18129,17.9363,56.759852,23.543167
1.84409,13.8388,56.765018,24.159494
1.18299,12.0013,56.778341,23.714959
1.56229,13.154,56.780689,23.226163
2.49389,15.4095,56.788352,24.051984
2.97079,17.0779,56.789738,23.432161
0.601586,9.3683,56.791985,24.27646
1.22629,12.2136,56.806479,23.714092
2.93239,16.5776,56.814165,23.434819
3.08669,17.0427,56.825615,24.230787
2.24929,14.6887,56.836874,25.086572
3.13059,17.6592,56.843313,24.238413
2.86409,16.3734,56.844585,23.735072
2.68289,15.7507,56.86723,23.448029
2.84479,16.7696,56.868514,24.675703
2.28059,14.8201,56.877552,24.370341
2.98879,16.8977,56.881919,23.871825
2.84439,16.4418,56.884192,23.306338
1.37019,12.5555,56.890409,24.684003
1.18629,11.9942,56.892441,21.746613
2.78079,16.0267,56.895005,22.801131
3.00409,16.914,56.899526,24.873971
3.02979,17.4365,56.900221,23.473945
1.54659,13.1315,56.908464,23.467855
2.53289,15.4222,56.908629,24.819557
1.78489,13.6939,56.908771,24.891661
1.66569,13.2807,56.918323,24.301743
0.802786,10.3988,56.918614,24.364362
1.61739,13.3484,56.921682,23.740092
1.50979,13.0262,56.922761,23.971734
0.908486,10.943,56.950583,23.21789
2.90309,16.6825,56.957486,24.428496
2.37769,15.0381,56.962355,24.505022
3.01769,17.0927,56.966582,23.663182
0.663686,9.7527,56.968951,23.94103
3.16669,17.8164,56.997449,24.593488
2.46299,15.1659,57.024347,23.033956
3.11249,17.4116,57.024493,23.883449
2.85339,16.5333,57.027721,24.001727
2.74119,16.0246,57.033232,23.739715
1.77679,13.7323,57.04583,23.506817
2.90469,16.3759,57.055512,23.979525
2.74729,15.9558,57.057448,23.632996
2.73829,16.4424,57.063556,23.434692
0.695986,9.9861,57.070519,23.636591
1.80649,13.7232,57.072139,24.504227
2.91249,16.7641,57.072401,23.806403
2.90349,16.5146,57.073478,22.066815
0.878286,10.7404,57.073808,25.047647
1.87789,13.9919,57.075119,23.89128
2.38469,15.0646,57.082698,23.603144
3.25229,17.7911,57.085811,23.516883
2.45189,15.0879,57.09446,22.872484
3.04009,16.8797,57.094646,23.461752
3.05359,17.2806,57.099722,23.135478
0.691886,9.8941,57.109113,24.048189
1.28279,12.2471,57.116883,23.300563
2.94159,17.0799,57.12405,23.968134
2.38099,14.9654,57.12947,24.28128
2.87019,16.8351,57.132711,24.032809
2.80809,16.8452,57.140812,24.032856
0.746486,10.2111,57.143884,23.434597
3.08839,17.4498,57.147954,24.200699
3.12669,17.6222,57.163846,24.838706
2.87439,16.2814,57.168548,24.609298
3.29019,18.1115,57.169247,25.022033
2.61609,15.4977,57.175684,25.007703
2.86409,16.6257,57.183597,25.106085
1.46969,12.8952,57.189367,23.338719
3.13929,17.3768,57.203332,23.413188
2.47409,15.2904,57.242943,23.094028
2.17329,14.5274,57.254285,22.980218
3.31059,17.8537,57.254846,23.637483
1.01359,11.4698,57.259816,23.252245
2.81519,16.1017,57.274753,23.105924
2.75169,16.0378,57.296061,24.347405
0.763686,10.3029,57.298986,24.636388
1.77419,13.6552,57.301374,23.228147
1.33229,12.4656,57.3359,24.776469
3.15029,17.7185,57.338624,24.694534
2.73749,15.8142,57.339623,23.651585
3.13919,17.5792,57.356537,22.312215
3.07319,17.3402,57.356765,23.047114
2.93259,16.6994,57.365006,24.403643
0.963986,11.1596,57.369855,23.711986
3.07219,17.5501,57.384095,23.271505
2.82959,16.3257,57.385638,23.928302
0.546186,9.0273,57.38645,23.38021
2.53449,15.3805,57.387746,24.533839
0.845186,10.7479,57.38809,23.795202
0.907086,10.9291,57.414261,23.289915
1.14809,11.9077,57.426242,24.462806
0.983786,11.3411,57.459921,23.705395
2.88279,16.4141,57.460005,20.966523
3.24029,17.7321,57.490214,23.724328
2.67069,15.7623,57.509138,23.862229
3.12449,17.5619,57.520907,23.304644
3.04959,16.965,57.561544,25.42483
2.82579,16.2298,57.563675,24.226549
0.637286,9.5184,57.573729,25.37937
0.990086,11.1654,57.588861,23.096151
2.91809,16.5688,57.614029,23.379019
1.17349,11.7335,57.648933,25.426315
2.85549,16.3488,57.655949,22.468754
2.51689,15.4167,57.662226,23.217234
0.735686,10.1567,57.667055,23.932851
3.07709,17.5529,57.671761,25.658314
