BP-RP,G,ra,dec
0.630342,9.9914,129.97927,20.064971
0.661142,10.1624,130.00244,19.806501
0.573242,9.5651,130.00524,20.135572
0.743542,10.5789,130.35752,19.943515
0.606542,9.7418,130.10625,19.475708
0.914442,11.4309,130.13187,19.850228
0.800942,10.8629,130.20119,19.921867
0.734942,10.5451,130.09449,19.46471
0.731142,10.5043,129.44405,19.438288
1.02314,11.8771,130.22847,19.935117
0.857742,11.1684,130.17684,19.56595
0.648242,9.9825,130.2916,19.508856
0.717842,10.4472,129.80056,19.11556
2.16254,15.0667,129.81037,20.021928
0.851442,11.2535,129.34245,20.176953
2.44994,15.9695,130.21595,19.941673
2.38694,15.6782,130.11055,20.253596
0.849342,11.138,129.29771,19.803627
0.712142,10.3508,130.4324,20.226816
2.80684,16.8577,130.35827,19.987462
2.84754,17.0969,129.77116,19.7573
2.19084,15.1955,130.05728,19.748838
2.81174,17.4232,129.53322,20.063992
0.739742,10.5806,129.89791,18.876822
2.19364,15.151,129.47721,20.136688
2.24054,15.3955,129.63666,19.77372
2.84294,17.1637,130.40554,20.210179
2.13164,15.0402,130.33503,19.622847
2.05544,14.6301,129.9208,19.991282
2.93634,17.4999,129.73098,19.842529
2.48454,16.0947,129.84336,20.08182
0.883442,11.2448,129.56224,20.567761
0.951842,11.6453,129.48748,19.236161
2.88734,17.6518,130.47313,19.608428
1.93224,14.4976,129.90463,19.816045
2.65324,16.2975,129.36608,19.903461
2.86534,17.3523,129.52801,19.571574
1.64214,13.7468,130.31407,20.0377
0.830942,11.0967,129.46687,19.987127
2.11154,14.9131,130.22409,19.378837
2.79614,16.7283,130.73628,20.07164
2.83054,16.8687,130.43375,20.604409
2.27554,15.2034,129.6154,19.765412
1.07414,12.0929,130.26076,20.457651
2.73754,16.994,130.01022,19.277656
2.28344,15.4484,129.13894,19.915046
1.87944,14.3892,130.15769,20.338243
2.29504,15.5361,129.81981,19.795118
2.24154,15.2536,130.49713,19.745795
2.76494,16.7103,129.47855,19.485972
1.40604,13.1613,130.33285,19.634589
0.923742,11.435,130.6769,19.09965
1.47064,13.3318,129.76698,19.522634
0.930942,11.5089,130.3908,19.96903
2.63064,16.5768,130.22473,20.090054
2.75474,16.5869,129.48788,19.463806
2.61134,16.4103,129.96965,20.018042
2.82834,17.3207,129.97653,19.460274
1.67574,13.7661,129.79218,20.408324
2.37064,15.6524,129.81344,19.286476
2.71114,16.8343,129.12993,19.59255
1.83354,14.2053,130.09323,20.640806
2.62134,16.2873,129.07965,19.898516
1.03234,11.9794,130.23605,19.734722
1.09164,11.8502,129.53143,19.987811
2.39284,15.5689,129.26452,19.53596
2.53004,16.046,130.12728,19.932944
2.75954,16.405,129.86095,20.431152
0.893842,11.2686,130.19822,18.903257
2.93174,16.9913,128.99752,20.077868
0.947042,11.4569,129.36464,19.61751
2.41574,15.4887,129.20381,19.316424
2.83024,17.4986,129.35192,19.786602
1.07574,12.0267,129.4473,19.10682
1.55204,13.5259,129.62331,19.862428
2.33694,15.4761,129.53391,20.446091
2.72424,16.6526,130.27856,19.443542
1.68624,13.8415,129.76322,20.043711
1.98104,14.6448,129.94386,19.217733
2.79254,16.6426,130.77548,19.414449
2.79814,16.8285,130.01719,19.413902
2.36034,15.7498,130.33679,20.346503
1.89134,14.4475,129.90173,19.485463
2.74994,17.4904,130.42375,19.83256
1.18964,12.595,129.17408,20.411041
2.72264,16.3533,130.90335,20.540058
2.32214,15.4851,129.03723,19.229953
2.79224,16.6585,129.82857,18.810088
0.914942,11.4758,129.19035,20.12389
0.566742,9.5098,131.32485,18.890317
2.59754,16.277,130.5644,19.815951
2.54404,15.7659,130.36988,19.975531
3.05004,17.6722,130.89774,19.456493
2.68704,16.3158,129.72971,20.219068
